"Faixa_Etária";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"9 a 12 anos";"47156";"130745";"171622";"234051";"283056";"301703";"269500";"352514";"360604";"280453";"235113";"249042";"268439";"278827";"295642";"319591";"268155";"345674";"562498";"378861";"321006";"172264";"106713";"87286";"53296";"29462";"9304";"6412577"
"10 a 11 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52576";"106226";"9764";"0";"0";"0";"23";"113";"168702"
"10 a 14 anos";"332634";"474275";"408511";"478646";"2121395";"2241060";"2697355";"1292554";"379250";"473076";"359310";"404374";"344761";"523406";"1760296";"1163867";"961110";"991539";"850064";"842805";"911951";"800109";"1029302";"2154070";"847940";"381001";"672585";"25897246"
"11 a 14 anos";"630499";"113020";"109490";"474754";"1800337";"3605681";"1681690";"5686613";"5223342";"3378943";"1641882";"1487476";"1007505";"876411";"630975";"792199";"510946";"490280";"306606";"216848";"168113";"98296";"48729";"44680";"22820";"11809";"14560";"31074504"
"7 a 8 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4754";"6961";"5575";"2880";"1616";"933";"278";"42";"23039"
"12 a 14 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3233388";"0";"0";"0";"0";"100208";"247661";"13813";"0";"0";"0";"0";"0";"3595070"
"13 a 14 anos";"0";"0";"0";"0";"0";"0";"2035";"85853";"890522";"61968";"67142";"79318";"75571";"254071";"239929";"140177";"102964";"97356";"67443";"64224";"80554";"155403";"129584";"93464";"127758";"140512";"135983";"3091831"
"13 a 19 anos";"0";"0";"0";"0";"0";"0";"1187";"102530";"116152";"181131";"272687";"315110";"415312";"359084";"377197";"416786";"326001";"466169";"761463";"511773";"896233";"253480";"164239";"114840";"71547";"42112";"12904";"6177937"
"15 a 16 anos";"0";"0";"0";"0";"0";"0";"2035";"540765";"939149";"82605";"79840";"99718";"123073";"301591";"305633";"238870";"209672";"210224";"174548";"173861";"168055";"221067";"156200";"87629";"164139";"328897";"212979";"4820550"
"15 a 19 anos";"91366";"262893";"315780";"230608";"1040981";"2634858";"193772";"5507912";"5372411";"4144781";"2332418";"2197412";"1644021";"1590317";"5809290";"1490831";"1396662";"1532017";"1217092";"2180942";"1879218";"1469044";"887310";"1094860";"999244";"1032378";"611588";"49160006"
"15 a 49 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"310182";"706203";"22023";"10364550";"6921685";"4250289";"1919899";"24494831"
"15 a 59 anos";"677203";"1067969";"1057416";"2335553";"6398966";"8812119";"14070100";"7954626";"1973717";"2538223";"1834859";"2138778";"1884663";"2707121";"11807253";"5838435";"3509889";"3241422";"2611390";"2610888";"1909174";"1046568";"1502569";"6169751";"2161142";"155318";"289631";"98304743"
"17 a 19 anos";"0";"0";"0";"0";"0";"0";"5877";"907296";"1240075";"119755";"113706";"143419";"190756";"396492";"390588";"283784";"218346";"232024";"208128";"223870";"220101";"347180";"308249";"199133";"317716";"577976";"359742";"7004213"
"18 a 19 anos";"0";"0";"0";"0";"0";"0";"5";"2214";"3759";"4836";"1700";"728";"1187";"505";"564";"668";"395";"842";"817";"672";"562";"103";"275";"316";"227";"179";"17";"20571"
"20 a 24 anos";"0";"0";"0";"0";"0";"0";"5414";"1149853";"1726834";"180690";"167329";"205879";"272577";"983878";"699523";"392912";"289654";"2688210";"2669525";"2283655";"1940544";"1786421";"1273392";"1401137";"1678957";"2790929";"1482262";"26069575"
"20 a 29 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33778175";"0";"0";"0";"0";"2917372";"0";"0";"0";"0";"0";"0";"0";"36695547"
"20 a 59 anos";"93390";"287453";"392915";"539102";"722343";"802243";"2064013";"2608684";"3514521";"4121659";"4014311";"4332216";"4564838";"5136386";"5529253";"5426833";"5034530";"3492943";"4141689";"2453114";"2271328";"1099645";"757062";"558447";"371666";"230106";"179468";"64740158"
"20 a 25 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24130";"11974";"682";"0";"0";"0";"0";"0";"36786"
"20 a 26 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5035";"27716";"29162";"23462";"108018";"96907";"38788";"15682";"344770"
"26 a 27 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8732";"5154";"332";"0";"0";"0";"0";"0";"14218"
"27 e mais";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2508";"22162";"24869";"22161";"48612";"36917";"19912";"8064";"185205"
"25 a 29 anos";"0";"0";"0";"0";"0";"0";"5414";"984654";"1495026";"188666";"151037";"185658";"271105";"950940";"821642";"389962";"277104";"1216245";"1988431";"2226429";"2132880";"2000079";"1355942";"1606210";"1975456";"3273626";"1741330";"25237836"
"30 a 34 anos";"0";"0";"0";"0";"0";"0";"5414";"108649";"1183298";"114586";"108659";"132896";"204418";"745330";"572285";"266984";"212321";"259641";"247535";"314382";"334561";"371636";"442259";"295108";"663700";"1184620";"873666";"8641948"
"30 a 39 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26613725";"0";"0";"730587";"1591016";"5664244";"2895275";"2279405";"828362";"835657";"325975";"225158";"550712";"42540116"
"35 a 39 anos";"0";"0";"0";"0";"0";"0";"5414";"103634";"1071622";"81111";"82921";"100895";"176700";"399431";"505125";"191342";"155496";"185117";"162110";"209499";"251741";"280569";"364364";"282501";"717920";"1292770";"964770";"7585052"
"40 a 44 anos";"0";"0";"0";"0";"0";"0";"5414";"102095";"88342";"39892";"43916";"58490";"122067";"260086";"182348";"83826";"93620";"117324";"104060";"145856";"170698";"194796";"255542";"213704";"595461";"1161278";"878036";"4916851"
"40 a 49 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"352323";"689502";"7875116";"3253780";"1981860";"690904";"730628";"432620";"213208";"1462";"16221403"
"45 a 49 anos";"0";"0";"0";"0";"0";"0";"5414";"102121";"90383";"34099";"33542";"42121";"86444";"204172";"133337";"57786";"72390";"98508";"83792";"107710";"135233";"159658";"201221";"174035";"478895";"983782";"744405";"4029048"
"50 a 59 anos";"156";"34";"0";"0";"0";"0";"906726";"1099575";"1100073";"1163069";"1064430";"1135848";"1087085";"1263013";"1343652";"1045080";"1165950";"1397837";"1539937";"4423128";"1531080";"1182917";"571542";"658830";"580719";"1243704";"1353797";"26858182"
"60 a 64 anos";"0";"0";"0";"0";"0";"336971";"3084653";"3713784";"3771581";"4212317";"4401016";"4342081";"4459747";"4529651";"4355178";"5154841";"5173819";"0";"0";"5756659";"0";"0";"0";"0";"0";"21989";"129923";"53444210"
"60 anos e mais";"0";"0";"0";"0";"1031";"5134";"3762595";"4733432";"3202991";"3538140";"3290437";"3268911";"2714372";"2917266";"3868871";"3196833";"2214921";"3005757";"2859894";"2624105";"1823978";"1382097";"667178";"1040101";"728597";"744692";"479338";"52070671"
"65 a 69 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8613898";"8763924";"9058611";"9304765";"3614260";"3795002";"3730347";"0";"0";"4389577";"0";"0";"0";"0";"0";"19736";"103005";"51393125"
"65 anos e mais";"0";"0";"0";"0";"0";"7296009";"6332326";"7051558";"7255283";"8149545";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"329107";"1130538";"1567844";"2720222";"3907691";"4087009";"1622132";"51449264"
"70 a 74 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2437395";"2834782";"2785041";"0";"0";"3401946";"0";"0";"0";"0";"0";"15331";"73265";"11547760"
"75 a 79 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1777197";"2035574";"1927735";"0";"0";"2420251";"0";"0";"0";"0";"0";"11530";"49364";"8221651"
"80 a 84 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1141399";"1354181";"1287587";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3783167"
